chunk_id,record_start,record_end,queued_time,infer_start,infer_end,label,score
chunk_1,1763717730.310551,1763717731.342725,1763717731.343195,,,,
chunk_1,,,,1763717731.3432662,1763717731.5129313,on,0.9250638
chunk_2,1763717731.3446927,1763717732.3716416,1763717732.3721094,,,,
chunk_2,,,,1763717732.3721893,1763717732.4314604,off,0.9306639
chunk_3,1763717732.3726466,1763717733.4014556,1763717733.4020655,,,,
chunk_3,,,,1763717733.4021325,1763717733.470216,on,0.749918
chunk_4,1763717733.4026663,1763717734.4312146,1763717734.4317768,,,,
chunk_4,,,,1763717734.4318845,1763717734.528523,on,0.99950874
chunk_5,1763717734.4327466,1763717735.464482,1763717735.4649224,,,,
chunk_5,,,,1763717735.4649913,1763717735.5193148,on,0.923024
chunk_6,1763717735.4655485,1763717736.4951565,1763717736.4955463,,,,
chunk_6,,,,1763717736.4956403,1763717736.5450566,off,0.9754784
chunk_7,1763717736.4962292,1763717737.5235758,1763717737.5239396,,,,
chunk_7,,,,1763717737.5240545,1763717737.5721078,off,0.8949587
chunk_8,1763717737.5246897,1763717738.5479217,1763717738.5484324,,,,
chunk_8,,,,1763717738.548578,1763717738.6091979,off,0.98009515
chunk_9,1763717738.5495143,1763717739.5824754,1763717739.5827894,,,,
chunk_9,,,,1763717739.5832746,1763717739.6294498,on,0.9981693
chunk_10,1763717739.5829644,1763717740.6113179,1763717740.61174,,,,
chunk_10,,,,1763717740.6118371,1763717740.661905,on,0.99985826
chunk_11,1763717740.6128812,1763717741.6414597,1763717741.6418138,,,,
chunk_11,,,,1763717741.6419094,1763717741.700774,on,0.99982005
chunk_12,1763717741.642573,1763717742.6701977,1763717742.6706262,,,,
chunk_12,,,,1763717742.670706,1763717742.7168531,off,0.9900647
chunk_13,1763717742.6712499,1763717743.70022,1763717743.7006063,,,,
chunk_13,,,,1763717743.7007968,1763717743.7459598,off,0.9979875
chunk_14,1763717743.7012618,1763717744.7290623,1763717744.7294557,,,,
chunk_14,,,,1763717744.7295616,1763717744.7842839,off,0.92966795
chunk_15,1763717744.7300346,1763717745.7588232,1763717745.7591522,,,,
chunk_15,,,,1763717745.7593095,1763717745.805863,off,0.6424119
chunk_16,1763717745.7597382,1763717746.7877305,1763717746.7880988,,,,
chunk_16,,,,1763717746.7881937,1763717746.8378139,off,0.6084943
chunk_17,1763717746.7888548,1763717747.8168201,1763717747.8171573,,,,
chunk_17,,,,1763717747.817271,1763717747.864832,off,0.86894995
chunk_18,1763717747.8177898,1763717748.8462472,1763717748.8465815,,,,
chunk_18,,,,1763717748.8467448,1763717748.8928962,off,0.65849257
chunk_19,1763717748.8471954,1763717749.8760557,1763717749.8763683,,,,
chunk_19,,,,1763717749.8765557,1763717749.920903,off,0.7610357
chunk_1,1763717771.4752614,1763717772.5056086,1763717772.505963,,,,
chunk_1,,,,1763717772.506047,1763717772.65134,off,0.6367716
chunk_2,1763717772.5077968,1763717773.5341618,1763717773.5346525,,,,
chunk_2,,,,1763717773.5347145,1763717773.5826087,on,0.9999821
chunk_3,1763717773.5351815,1763717774.5640185,1763717774.5644476,,,,
chunk_3,,,,1763717774.5645723,1763717774.6235108,on,0.4800834
chunk_4,1763717774.5655665,1763717775.5885866,1763717775.5889835,,,,
chunk_4,,,,1763717775.589049,1763717775.6357007,off,0.9999566
chunk_5,1763717775.5895119,1763717776.6175206,1763717776.6178463,,,,
